administrativeunit 
automaticrepliessetting 
binding 
chart 
chartareaformat 
chartaxes 
chartaxis 
chartaxisformat 
chartaxistitle 
chartaxistitleformat 
chartdatalabelformat 
chartdatalabels 
chartfill 
chartfont 
chartgridlines 
chartgridlinesformat 
chartlegend 
chartlegendformat 
chartlineformat 
chartpoint 
chartpointformat 
chartseries 
chartseriesformat 
charttitle 
charttitleformat 
directorysetting 
directorysettingtemplate 
driverecipient 
entity 
eventmessagerequest 
excelapplication 
filter 
filtercriteria 
filterdatetime 
followupflag 
formatprotection 
functionresult 
functions 
icon 
identityinfo 
json 
locationconstraintitem 
mailboxsettings 
multivaluelegacyextendedproperty 
nameditem 
officegraphinsights 
package 
phone 
range 
rangeborder 
rangefill 
rangefont 
rangeformat 
rangereference 
rangesort 
rankedemailaddress 
remoteitem 
resourcereference 
resourcevisualization 
scopedrolemembership 
sessioninfo 
settingtemplatevalue 
settingvalue 
singlevaluelegacyextendedproperty 
sortfield 
table 
tablecolumn 
tablerow 
tablesort 
trending 
userconfiguration 
website 
workbook 
worksheet 
worksheetprotection 
worksheetprotectionoptions 
